
AL,15,61,-29

AR,212,-45,86

AR,209,-48,87

AL,16,61,-30

AL,17,60,-32

AR,202,-55,91

AR,198,-59,94

AL,18,59,-33

AL,18,59,-34

AR,189,-66,104

AR,184,-70,111

AL,18,59,-36

AL,18,58,-38

AR,175,-76,137

AR,171,-77,158

AL,18,58,-41

AL,18,57,-44

AR,164,-74,-166

AR,162,-72,-157

AL,18,57,-46

AL,19,56,-47

AR,162,-66,-149

AR,163,-64,-149

AL,21,53,-50

AL,23,51,-52

AR,170,-62,-153

AR,173,-62,-155

AL,27,47,-54

AL,29,45,-55

AR,177,-63,-158

AR,180,-64,-164

AL,33,41,-58

AL,34,39,-60

AR,180,-66,-168

AR,180,-68,-178

AL,36,36,-64

AL,37,34,-65

AL,38,32,-69

AL,39,32,-70

AR,183,-69,175

AR,185,-69,162

AL,41,31,-70

AL,42,31,-70

AR,192,-68,141

AR,195,-67,135

AL,40,33,-70

AL,40,34,-70

AR,195,-66,133

AR,195,-66,131

AL,39,38,-69

AL,38,41,-69

AR,195,-65,128

AR,195,-65,125

AL,35,47,-69

AL,33,50,-69

AR,195,-65,124

AR,195,-65,121

AL,30,57,-67

AL,29,61,-66

AR,195,-65,120

AR,196,-65,119

AL,27,69,-62

AL,27,72,-60

AR,197,-65,117

AR,198,-65,115

AL,28,79,-56

AL,30,82,-56

AR,199,-65,113

AR,200,-65,112

AL,35,87,-2

AL,38,88,-178

AR,202,-65,110

AR,203,-65,109

AL,46,85,-178

AL,51,84,-178

AR,205,-64,107

AR,206,-64,106

AL,61,81,-156

AL,66,81,-151

AR,208,-63,104

AR,210,-62,103

AL,74,79,-140

AL,77,79,-135

AR,213,-61,101

AR,216,-60,100

AL,82,78,-126

AL,84,77,-121

AR,221,-58,98

AR,224,-57,97

AL,86,77,-114

AL,86,76,-109

AR,231,-55,96

AR,234,-54,95

AL,87,76,-100

AL,86,76,-95

AR,241,-52,93

AR,245,-52,92

AL,85,76,-87

AL,85,75,-83

AR,252,-51,90

AR,255,-51,89

AL,85,75,-78

AL,86,74,-76

AL,88,73,-73

AL,89,72,-73

AR,261,-50,90

AR,263,-50,91

AL,90,72,-72

AL,91,72,-71

AL,91,72,-72

AL,92,72,-72

AR,274,-50,98

AR,277,-50,99

AL,92,72,-72

AL,93,72,-73

AR,291,-51,101

AR,293,-51,101

AL,93,73,-74

AL,93,73,-75

AR,298,-52,101

AR,300,-53,100

AL,93,74,-77

AL,93,74,-78

AR,305,-55,99

AR,307,-56,99

AL,93,75,-80

AL,93,75,-82

AR,311,-58,97

AR,313,-59,97

AL,92,76,-84

AL,92,76,-86

AR,317,-60,97

AR,318,-61,97

AL,92,76,-88

AL,93,76,-90

AR,322,-63,98

AR,323,-63,98

AL,93,76,-93

AR,326,-64,101

AR,326,-64,103

AR,325,-64,108

AR,326,-64,110

AL,93,76,-95

AL,93,75,-99

AL,94,71,-109

AL,96,70,-110

AR,330,-63,112

AR,332,-63,112

AL,95,68,-111

AL,97,67,-112

AR,331,-61,118

AR,329,-61,118

AL,102,64,-112

AL,106,62,-111

AR,329,-60,119

AR,329,-60,120

AL,118,58,-104

AL,124,56,-100

AR,328,-59,121

AR,329,-59,121

AL,133,52,-94

AL,137,51,-91

AR,330,-58,121

AR,331,-58,121

AL,143,48,-87

AL,145,48,-86

AR,330,-57,121

AR,330,-57,120

AL,145,47,-83

AL,147,48,-82

AR,331,-56,120

AR,330,-56,120

AL,149,49,-78

AL,151,50,-76

AR,331,-55,119

AR,332,-55,119

AL,152,53,-72

AL,153,55,-69AR,331,-54,118

AR,332,-54,118



AL,154,59,-65

AR,333,-54,117

AR,333,-53,117

AL,153,66,-57

AL,153,68,-53

AR,332,-53,117

AR,333,-53,116

AL,153,72,-42

AR,334,-52,115

AR,334,-52,115

AL,153,74,-36

AL,152,77,-25

AR,336,-51,113

AR,337,-51,112

AL,147,78,-10

AL,147,78,-8

AR,338,-50,111

AR,340,-49,110

AL,146,78,-10

AL,143,78,-13

AR,343,-47,107

AR,345,-45,106

AL,145,76,-22

AL,147,75,-27

AR,349,-42,104

AR,352,-39,103

AL,149,74,-32

AL,151,71,-37

AR,357,-34,100

AR,0,-32,99

AL,154,70,-38

AL,157,67,-43

AR,6,-27,96

AR,9,-26,95

AL,156,66,-45

AL,159,63,-47

AR,13,-23,92

AR,14,-22,91

AL,161,61,-49

AL,160,60,-49

AR,16,-22,90

AR,17,-22,90

AL,160,59,-50

AL,162,58,-50

AR,17,-24,90

AR,16,-26,91

AL,162,57,-51

AL,161,57,-51

AR,14,-31,93

